"data_nascimento","id","cpf","cep","num_cartao_sus","telefone_celular","telefone_responsavel","nome_mae","complemento","email","nome","sexo","endereco","num_endereco","estado","cidade","eh_tabagista","eh_etilista","tem_lesao_suspeita","bairro","participa_smart_monitor"
"1950-01-12 00:00:00","100","73543945050","94940140",NULL,"(66) 66555-5555","","Maria da Silva","",NULL,"Felipe da Silva","MASCULINO","Rua Jacui",NULL,"RS","Cachoeirinha",NULL,NULL,NULL,"Vila Princesa Izabel",True
"1950-07-15 00:00:00","1559","30538946024","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","joseCarvalho@gmail.com","José Carvalho","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",True,True,False,"Setor Goiânia 2",True
"1950-07-15 00:00:00","1566","88286087062","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","Carvalho@gmail.com","Florzinha Carvalho","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",NULL,NULL,NULL,"Setor Goiânia 2",True
"1855-02-02 00:00:00","1726","70267070195",NULL,"585.8484.8484.4744","(65) 66565-6565","","fdg dfg ",NULL,NULL,"MARIA NILDE FEITOSA DA SILVA","FEMININO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-01-01 00:00:00","1615","36893470096","75072-07","001.0101.0100.0111","(62) 99346-7639","","teste mae",NULL,"teste@gmail.com","teste neto","MASCULINO","Jardim dos Ipês",NULL,"GO","Anápolis",True,False,False,"Jardim dos Ipês",True
"1987-09-16 00:00:00","1387","01609512162","74390229","898001920514181","(62) 99225-5225","","Maria da Silva","sem complemento","email@email.com","RENATA DUTRA BRAGA","FEMININO","Rua Timbira","00","GO","Goiânia",False,False,False,"Jardim Botânico",True
"1900-03-22 00:00:00","1694","13315100071","74450490","222.2222.2222.2222","(11) 11111-1111","(33) 33333-3333","mae do marcos testando o front","","marcoslmartins08@gmail.com","marcos testando o front","MASCULINO","Alameda das Monções",NULL,"GO","Goiânia",True,True,False,"Capuava",True
"1993-06-12 00:00:00","1598","75581175187","75457858","704509308483511","(56) 56565-6565","62-992300477","SFDF SDF",NULL,NULL,"MARIANA PAZ DOS SANTOS","FEMININO","F",NULL,"F","F",NULL,NULL,NULL,"EQWE",True
"2000-01-01 14:28:17","109","94948483737","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","CalendarAgendamentoAnteriorTestCase","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-01-01 14:28:17","1415","24833452391","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","TestTCLENew","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-03-22 00:00:00","1813","85330212081",NULL,NULL,"(44) 44444-4444",NULL,"modal teste 2",NULL,NULL,"modal teste 2","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False
"2010-01-01 00:00:00","1388","42229038095","42229038",NULL,"(99) 99999-9999",NULL,"Mãe da silva",NULL,NULL,"Paciente adolescente","FEMININO","Rua Fortaleza",NULL,"GO","Aparecida de Goiânia",True,False,True,"Vila Brasília",True
"1960-07-15 00:00:00","1565","76705925086","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","florzinha@gmail.com","Florzinha da Silva","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"1970-07-15 00:00:00","1564","37144288016","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","docinho@gmail.com","Docinho da Silva","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"1995-07-15 00:00:00","1561","15058507030","74663200",NULL,"(62) 99238-8534","","Juliana Braga","","maria@gmail.com","Maria Joaquina","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"2000-01-01 14:28:17","379","29748496015","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","CalendarAgendamentoAnteriorTestCase","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2003-12-31 00:00:00","1550","85450588020","74313530",NULL,"(62) 99238-8531","","Maria do Bairro","","omar@gmail.com","Omar Al Jawabri","MASCULINO","Rua U 68",NULL,"GO","Goiânia",NULL,NULL,NULL,"Setor União",True
"1960-07-15 00:00:00","1558","98599592009","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","marcelo@gmail.com","Marcelo da Silva","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"1964-07-15 00:00:00","1556","68103658006","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","lindinha@gmail.com","Odin da Silva","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"1980-07-15 00:00:00","1563","95949994035","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","lindinha@gmail.com","Lindinha da Silva","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"1990-07-15 00:00:00","1562","42678960030","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","isa@gmail.com","Isabela da Silva","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"2001-06-30 00:00:00","1560","46863794071","74663200",NULL,"(62) 99238-8533","","Marta","","tallya@gmail.com","Tallya Jesus","FEMININO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"2005-10-12 00:00:00","1693","43355913065","74110100",NULL,"(62) 99321-2321",NULL,"Jorgina Sousa","até 1388 - lado par",NULL,"Hugo PBor","MASCULINO","Rua 9",NULL,"GO","Goiânia",True,True,False,"Setor Oeste",True
"1999-01-01 00:00:00","1604","69936105079","75091-42","111.0101.0101.0011","(62) 99346-7639",NULL,"Teste da silva",NULL,NULL,"teste silva ","MASCULINO","Avenida Ayrton Senna","68","Goiás","Anápolis",True,False,False,"Residencial Vila Feliz",True
"1950-01-01 00:00:00","874","51350781002","79610368",NULL,"(99) 99999-9999",NULL,"Mãe do paciente","",NULL,"Paciente de teste","MASCULINO","Rua Waldemar Amadeu Falco Filho",NULL,"MS","Três Lagoas",True,True,False,"SETSUL",True
"2000-01-01 14:28:17","1171","37124809541","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","CalendarAgendamentoAnteriorTestCase","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-01-01 14:28:17","1409","61799780937","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","AtendimentoHistoricoTestCase","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"1991-08-31 00:00:00","1552","43035373060","74313530",NULL,"(62) 99238-8532","","Natália Silveira","","stephano@gmail.com","Stephano","MASCULINO","Rua U 68",NULL,"GO","Goiânia",True,False,False,"Setor União",True
"2002-03-01 00:00:00","1747","07901167157",NULL,"708705151415593","(62) 98172-4561","","Keila Maria de Souza ",NULL,"mathodontoufg@outlook.com","MATHEUS SOUZA E SILVA","MASCULINO",NULL,NULL,NULL,NULL,True,True,True,NULL,True
"1985-06-30 00:00:00","1553","87609049093","74663200",NULL,"(62) 99238-8533","","Marta","","tallya@gmail.com","Tallya Jesus","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",NULL,NULL,NULL,"Setor Goiânia 2",False
"1945-07-15 00:00:00","1555","27793174003","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","isa@gmail.com","João da Silva","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"2001-08-31 00:00:00","1551","65043860057","74313530",NULL,"(62) 99238-8532","","Fabricia Santana","","gabriel@gmail.com","Gabriel Freitas","MASCULINO","Rua U 68",NULL,"GO","Goiânia",False,True,False,"Setor União",True
"2000-01-01 14:28:17","1360","07036101806","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","AtendimentoHistoricoDuplicadoTestCase","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"1993-07-15 00:00:00","1554","52187294005","74663200",NULL,"(62) 99238-8534","","Juliana Braga","","maria@gmail.com","Maria Joaquina","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",False,False,False,"Setor Goiânia 2",True
"1950-01-01 00:00:00","1386","18712721069","74982-14",NULL,"(99) 99999-9999",NULL,"Mãe do Paciente",NULL,NULL,"Paciente de teste 1","MASCULINO","Rua das Flores",NULL,"go","Aparecida de Goiânia",True,True,True,"Bairro Jardim Cristal",True
"1950-01-01 00:00:00","1597","28258354043","75528006",NULL,"(62) 99999-9999",NULL,"Mãe caso de uso","",NULL,"Joao Caso de Uso 1","MASCULINO","Rua João Gilberto da Mota",NULL,"GO","Itumbiara",True,False,True,"Conjunto Habitacional Alcides Rodrigues",True
"2000-01-01 14:28:17","1808","57354670693",NULL,"111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano",NULL,"emailteste@gmail.com","Fulano de Castro Model","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-02-20 00:00:00","1811","66101250075",NULL,NULL,"(55) 55555-5555",NULL,"mae do modal teste",NULL,NULL,"teste modal","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"1950-05-01 00:00:00","1672","45426087008","72833657",NULL,"(99) 99999-9999",NULL,"Mãe do paciente","",NULL,"Paciente dentro do grupo de risco com nome muito grande","MASCULINO","Quadra 157",NULL,"GO","Luziânia",False,False,False,"Parque Desportivo Brasília (Roosevelt)",True
"1980-05-15 00:00:00","1753","73177881049",NULL,"898001234567890","62999990001","62999990002","maria das graças",NULL,"joao.silva@email.com","João da Silva","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"1999-01-01 00:00:00","775","04935666005","75144-63","000.0000.0000.0000","(62) 99346-7639","","teste mãe",NULL,"teste123@gmail.com","Teste teste","MASCULINO","Rua Goiânia","68","Goiás","Anápolis ",True,False,False,"Vila Fabril",True
"2000-03-22 00:00:00","1825","02896098011",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 9",NULL,NULL,"modal teste 9","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-03-22 00:00:00","1812","47225318039",NULL,NULL,"(11) 11111-1111",NULL,"modal teste opcao 1 mae",NULL,NULL,"modal teste opcao 1","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-03-22 00:00:00","1815","98885474020",NULL,NULL,"(77) 77777-7777",NULL,"mae do modal teste 4",NULL,NULL,"modal teste 4","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-01-01 14:28:17","103","42077683007","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","Fulano de Teste","MASCULINO",NULL,NULL,NULL,NULL,True,False,False,NULL,True
"2000-03-22 00:00:00","1824","94669609033",NULL,NULL,"(22) 22222-2222",NULL,"mae do teste status",NULL,NULL,"teste status","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2004-08-26 10:30:00","1782","02295647126",NULL,"123456789012345","(62) 99994-3445","(62) 99994-3444","Maria Silva",NULL,"siadeteste@email.com","Siade de Teste","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,False
"2000-03-22 00:00:00","1821","55101764078",NULL,NULL,"(33) 33333-3333",NULL,"mae do modal teste 5",NULL,NULL,"modal teste 5","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
